Stock1,Stock2,P-Value,Cluster,Sector,Hedge_Ratio,Half_Life,Hurst_Exponent,Zero_Crossings
HBAN,SCHW,0.00046,financials_2,financials,0.15408128413576588,36.81,0.3401,72
MS,STT,0.00099,financials_2,financials,1.5669897243366835,29.01,0.3526,69
AME,ITW,0.00124,industrials_1,industrials,0.9271058514784946,25.82,0.3139,108
TXN,SWKS,0.00288,information_technology_2,information_technology,-0.06693188227178032,35.83,0.3439,56
MS,BEN,0.00315,financials_2,financials,-1.389873855615813,inf,0.4336,35
ACN,NTAP,0.00419,information_technology_0,information_technology,0.603837569328885,76.91,0.4809,44
CL,MDLZ,0.00625,consumer_staples_2,consumer_staples,0.834738364621341,173.68,0.489,34
FISV,V,0.00693,financials_3,financials,0.45175648908616856,inf,0.5309,27
JNJ,BMY,0.00774,health_care_1,health_care,0.06283568935490105,547.23,0.4608,75
AMAT,NXPI,0.0084,information_technology_2,information_technology,1.1921725915737578,49.32,0.3075,97
BEN,STT,0.00905,financials_2,financials,0.009491566704284596,48.43,0.414,64
CL,KO,0.00991,consumer_staples_2,consumer_staples,0.9081855508283054,132.25,0.4869,41
TXN,ON,0.01023,information_technology_2,information_technology,-0.12654011364185153,34.18,0.3397,55
USB,PNC,0.01024,financials_2,financials,0.21081380190352417,53.39,0.3778,48
TXN,TER,0.01033,information_technology_2,information_technology,0.26834543255812515,44.26,0.3812,50
CL,PEP,0.01037,consumer_staples_2,consumer_staples,0.09659363165954038,185.86,0.5002,15
AEP,ETR,0.01122,utilities_0,utilities,0.7825556334656815,38.53,0.4263,49
CL,KDP,0.0119,consumer_staples_2,consumer_staples,0.7177642020692477,181.92,0.447,7
EBAY,NKE,0.01199,consumer_discretionary_3,consumer_discretionary,-0.13968890960710265,216.58,0.4702,27
CL,PG,0.01307,consumer_staples_2,consumer_staples,0.5307714069179142,68.18,0.5133,32
IVZ,SYF,0.01509,financials_2,financials,0.13693107203759236,85.82,0.415,44
CSX,UNP,0.01588,industrials_1,industrials,0.10543596780908675,34.14,0.4054,99
C,SYF,0.01612,financials_2,financials,1.1686872096082224,43.93,0.4377,94
CTSH,STX,0.01621,information_technology_0,information_technology,0.06703916468189555,60.04,0.4658,44
PPL,XEL,0.01662,utilities_0,utilities,0.4806980329092132,119.19,0.4218,35
DHI,LEN,0.01728,consumer_discretionary_1,consumer_discretionary,1.1317917814560834,504.84,0.3898,85
COP,EOG,0.01752,energy_1,energy,0.9209456546225376,66.78,0.3985,62
MS,SYF,0.01803,financials_2,financials,1.7531009719687762,45.93,0.3181,57
DUK,ETR,0.01808,utilities_0,utilities,0.796270988842489,37.49,0.4187,80
CL,KMB,0.01895,consumer_staples_2,consumer_staples,0.8000271777791135,69.91,0.3515,58
BAC,PNC,0.01934,financials_2,financials,0.2601045595370679,46.54,0.4001,57
